target,seq_write_med_mbps,seq_write_max_mbps,seq_read_med_mbps,seq_read_max_mbps,rand_read_iops,rand_read_lat_ms
internal,6335.0,6489.3,5138.3,5291.3,15220,0.0657
FATRIOT,560.7,561.4,706.9,717.0,3804,0.2629
